
de_cpu_guest_seconds_total	node_cpu_seconds_total	node_disk_io_now	node_intr_total
3.9	15.4	1	6.5
6.9	27.8	1	3.6
1.8	7.1	1	14
5.5	21.9	1	4.6
1.9	7.8	1	12.8
2.6	10.4	1	9.7
1.4	5.6	1	17.9
9.7	38.8	1	2.6
9	36.1	1	2.8
4.4	17.7	1	5.6
9.9	39.7	1	2.5
9.9	39.6	1	2.5
4.8	19.4	1	5.2
6.4	25.5	1	3.9
5.9	23.4	1	4.3
9	36	1	2.8
4	15.9	1	6.3
6	24	1	4.2
0.3	1.1	1	92.3
3	12.2	1	8.2
5.7	22.7	1	4.4
1.9	7.6	1	13.1
2.5	10	1	10
4.3	17.3	1	5.8
5.7	22.6	1	4.4
8.5	33.9	1	3
1.9	7.4	1	13.4
3.4	13.6	1	7.3
4.8	19.1	1	5.2
6.8	27.2	1	3.7
3	11.9	1	8.4
6.7	26.9	1	3.7
9.9	39.5	1	2.5
5.6	22.3	1	4.5
6.8	27.2	1	3.7
0.1	0.3	1	317.6
6.7	26.7	1	3.7
4.8	19.2	1	5.2
9.3	37.2	1	2.7
7.7	30.6	1	3.3
7.2	28.8	1	3.5
5.2	20.9	1	4.8
5.1	20.3	1	4.9
7.5	30.1	1	3.3
2.3	9.3	1	10.7
8.6	34.3	1	2.9
4	15.9	1	6.3
0.6	2.4	1	41
6.8	27.1	1	3.7
5.6	22.2	1	4.5
5	20.1	1	5
4.7	18.8	1	5.3
3.2	12.9	1	7.7
4.2	16.7	1	6
7.2	28.7	1	3.5
6	23.9	1	4.2
3.7	14.9	1	6.7
2.3	9.2	1	10.9
6.4	25.8	1	3.9
1.6	6.4	1	15.6
8.8	35.3	1	2.8
3.4	13.7	1	7.3
1.7	6.9	1	14.5
4.6	18.4	1	5.4
3.1	12.5	1	8
9.4	37.6	1	2.7
4.9	19.6	1	5.1
9.7	39	1	2.6
8.8	35.2	1	2.8
1.8	7.3	1	13.7
6.1	24.5	1	4.1
4.1	16.4	1	6.1
3.2	12.6	1	7.9
6.5	26.1	1	3.8
1.8	7.2	1	13.8
5.3	21.3	1	4.7
4.2	16.9	1	5.9
2.4	9.8	1	10.2
2.4	9.6	1	10.5
1	4.1	1	24.4
8.3	33	1	3
0.7	2.8	1	36.1
1	3.8	1	26.3
4.3	17.1	1	5.9
5.2	20.6	1	4.9
0.6	2.5	1	39.7
4.8	19.3	1	5.2
1.7	6.8	1	14.8
8.9	35.6	1	2.8
6.7	26.9	1	3.7
5.2	20.9	1	4.8
6.6	26.6	1	3.8
4.2	16.8	1	6
8	32	1	3.1
2.5	10.2	1	9.8
6.8	27	1	3.7
1.5	6.1	1	16.3
2.7	10.7	1	9.3
3	12	1	8.3
0.4	1.5	1	65.2
4.5	17.9	1	5.6
4.6	18.5	1	5.4
5.4	21.5	1	4.7
6.8	27.3	1	3.7
6.8	27.1	1	3.7
1.2	4.7	1	21.4
0.3	1.3	1	74.3
2.1	8.3	1	12.1
3.6	14.2	1	7
8.3	33.2	1	3
1.5	6.1	1	16.4
1.7	6.8	1	14.7
1.2	4.7	1	21.4
3.7	14.7	1	6.8
0.9	3.4	1	29
6.2	24.6	1	4.1
4.2	16.7	1	6
8.5	33.9	1	3
2.6	10.3	1	9.7
0.6	2.2	1	44.5
4.6	18.5	1	5.4
7.1	28.4	1	3.5
5.2	20.9	1	4.8
7.8	31	1	3.2
1.4	5.6	1	18
2.7	10.8	1	9.2
4.6	18.4	1	5.4
8	32	1	3.1
5.1	20.3	1	4.9
7.5	30	1	3.3
1	4.1	1	24.4
7	28	1	3.6
7.4	29.8	1	3.4
2.4	9.7	1	10.3
0.5	1.9	1	54
1.1	4.4	1	22.5
3.5	13.8	1	7.2
9.8	39.2	1	2.5
8.8	35.3	1	2.8
8.8	35.1	1	2.8
7.4	29.8	1	3.4
4.3	17.4	1	5.8
4.4	17.5	1	5.7
8	31.9	1	3.1
1.3	5.2	1	19.1
1.6	6.5	1	15.4
5.7	22.6	1	4.4
9.1	36.6	1	2.7
0.2	0.7	1	135.2
3	12.1	1	8.2
4.6	18.4	1	5.4
4.3	17.3	1	5.8
1.1	4.4	1	22.6
4	16.2	1	6.2
0.9	3.4	1	29.3
9.8	39.2	1	2.6
3.7	14.9	1	6.7
4.8	19.3	1	5.2
6.7	26.6	1	3.8
9.7	39	1	2.6
7.1	28.5	1	3.5
2.2	8.7	1	11.5
9.3	37	1	2.7
7.9	31.7	1	3.2
2.9	11.6	1	8.6
7.9	31.8	1	3.1
